question,answer,language
"How many items of library materials can be borrowed at the same time?","8 publication items can be borrowed at the same time.","English"
"What does 'In preparation – in process' ('v pripravi - v obdelavi') mean? Can I reserve these items?","Items with the item status 'In preparation – in process' ('v pripravi - v obdelavi') are still in the preparation or redaction process. If you reserve such materials, they will be processed preferentially. These materials can be reserved at the information desk.","English"
"What do the Roman numerals II., III., IV in front of the signature mean?","The Roman numerals in front of the signature label the size of library materials. The materials are put on the shelves according to the following order:  IV, III, II, and are followed by smaller size materials that are not marked with Roman numerals.","English"
"What happens if I lose my membership card?","A new membership card with a new number is issued according to valid pricelist 'https://ukm.um.si/en/content/pricelist'. You should report the loss of your membership card to the Lending Unit (telephone numbers (02) 25 07 429, (02) 25 07 430).","English"
"What should I do if I lose the materials I've borrowed?","The borrowed materials have to be replaced with identical materials or the fees for the purchase of new materials and the processing fees have to be paid. If the materials are damaged the library can demand restitution.","English"
"Where do I find information on Maribor?","If you need information on celebrities, societies, sights and events that are connected with Maribor or the northeast Slovenia you can contact the Local History Department.","English"
"What do I need for the issue of a CIP?","For the issue of a CIP you have to provide the last corrected copy, inner title page, other front pages, indexes and colophon.","English"
"How can I access the library's electronic databases?","The University of Maribor Library's homepage offers electronic sources which can be accessed from the computers in the Newspaper Reading room. The remote access is enabled for the University of Maribor students and the staff, who are active members of the University of Maribor libraries. For the remote access you need your membership card number and a password.","English"
"Who can become a member of the University of Maribor Library?","Citizens of Republic of Slovenia who are above fifteen years of age (parents or guardians guarantee for the authenticity of the data for users under eighteen years of age) and foreign citizens (in some cases they need an adult guarantor). Legal persons, who use the Interlibrary Loan service, can also be members of the library.","English"
"Do I have to come to the library in person if I have a short question or need information?","You can call the information desk (telephone (02) 25 07 431), or you can use the Ask a librarian (Vprašaj knjižničarja) service, where your question will be answered or you will be guided to appropriate sources.","English"
"Can I photocopy a book with the status 'For the reading room' ('Za čitalnico')?","The materials can be photocopied in the Sončna pot copy shop, which is on the library premises, if the materials will be used for personal use and if copies are then not publically accessible. You cannot reproduce more than 70% of the paganized book pages. You can reproduce the whole book if it is not available for more than two years and if you copy it for your personal use. The reproduction of music, databases and software is not allowed. Sometimes copying of valuable or damaged materials can also be rejected.","English"
"Can I borrow videos, DVDs and soundtracks?","The University of Maribor Library keeps these materials mostly for study and research purpose and therefore the majority of them are labelled with 'For the reading room' ('Za čitalnico'). You can use these materials in the reading cells on the 3rd floor. The materials labelled with K7, which are kept in the Music and Film Collection, need to be ordered until 15.00 per phone (02) 25 07 472, if you want to use them in the afternoon. Materials that available in more copies can of course also be borrowed.","English"
"Have you got any library materials for children and youth?","For those kinds of materials we suggest that you visit public libraries. According to the mission of our library we only have these materials for study purpose.","English"
"What is ISBN, ISSN?","ISBN (International Standard Book Number) is a onetime identification number for one title and one unchanged edition of the same publisher. ISSN (International Standard Serial Number) is a standardized international number which enables the identification of any serial publication regardless to where it is published. These two numbers are very useful when searching for materials.","English"
"Can I use wireless internet in the library?","Yes, the library offers wireless networks EDUROAM, LIBROAM, and WiGuestUKM.","English"
"Kje lahko najdem informacije o študijskih programih Univerze v Mariboru?","Podatki o študijskih programih Univerze v Mariboru so na voljo na spletnih straneh fakultet in v spletnem zbirniku študijskih programov Univerze v Mariboru 'https://moja.um.si/studijski-programi/Strani/default.aspx?jezik=S'.​","Slovenščina"
"Kje lahko najdem informacije o prijavi in vpisu na dodiplomske in enovite magistrske študijske programe?","Informacije o prijavi, vpisu, razpisanih študijskih programih in vpisnih pogojih je mogoče najti v Razpisu za vpis v dodiplomske in enovite magistrske študijske programe v študijskem letu 2023/24, ki je objavljen na spletni strani moja.UM 'https://moja.um.si/Strani/default.aspx', na spletnih straneh visokošolskih prijavno-informacijskih služb drugih univerz in na spletnem portalu eVŠ 'https://portal.evs.gov.si/razpisi-za-vpis'.","Slovenščina"
"Kje lahko najdem informacije o prijavi in vpisu na podiplomske študijske programe UM?","nformacije o prijavi, vpisu, razpisanih študijskih programih in vpisnih pogojih je mogoče najti v vsakoletnem Razpisu za vpis v podiplomske študijske programe Univerze v Mariboru, ki je objavljen na spletni ​strani moja.UM.si 'https://moja.um.si/bodoci-studentje/Strani/vpis-podiplomski-old.aspx'​.​​​​​​","Slovenščina"
"Na koga se lahko obrnem za pomoč pri oddaji prijave?","Za pomoč pri oddaji prijave se lahko obrnete na Enotni kontaktni center državne uprave (EKC): Tehnična pomoč za težave z digitalnim potrdilom in elektronskim podpisovanjem: Enotni kontaktni center državne uprave (EKC), e-naslov: ekc@gov.si, tel.: 080 2002 (med delavniki od 8. do 22. ure). Upoštevajte, da bo vaša vloga obravnavana le v času uradnih ur. Vsebinska pomoč za vprašanja pri izpolnjevanju elektronske vloge: Enotni kontaktni center državne uprave (EKC), e-naslov: ekc@gov.si, tel.: 080 2002 (med delavniki od 8. do 22. ure), tel. za klice iz tujine: 00386 1 478–85–90. Upoštevajte, da bo vaša vloga obravnavana le v času uradnih ur.​","Slovenščina"
"Ali lahko oddam prijavo za vpis po izteku prijavnega roka?","Oddaja prijave za vpis po izteku prijavnega roka ni možna.","Slovenščina"
"Kje lahko prejmem pojasnila glede vsebine razpisa za vpis, izpolnjevanja vpisnih pogojev, izbire študijskih programov ter izračuna točk za sprejem na izbran študijski program?", "Za vse informacije glede razpisa za vpis, izpolnjevanja vpisnih pogojev, izbire študijskih programov, izpolnjevanja prijave za vpis, izračuna točk za sprejem na izbran študijski program ipd. se lahko obrnete na sodelavce Visokošolskega prijavno-informacijskega centra Univerze v Mariboru. Visokošolski prijavno-informacijski center Univerze v Mariboru lahko kontaktirate na naslednjem naslovu: Visokošolski prijavno-informacijski center Univerze v Mariboru (VPIC UM), Slomškov trg 15, 2000 Maribor, Tel.: 02/ 23 55 261, 23 55 263, 23 55 264, 23 55 254, E-pošta: vpis@um.si​","Slovenščina"
"V katerem primeru moram oddati vlogo za priznavanje v tujini pridobljenega izobraževanja in kako to naredim?","Vsi kandidati za vpis, ki izpolnjevanje vpisnih pogojev dokazujejo s tujim predhodnim izobraževanjem in želijo nadaljevati izobraževanje na Univerzi v Mariboru, morajo pridobiti Odločbo o priznavanju tujega izobraževanja za namen nadaljevanja izobraževanja na UM. Postopek priznavanja tujega izobraževanja lahko kandidati sprožijo zgolj skupaj z izpolnitvijo in oddajo elektronskega obrazca za prijavo na študij, izpolnjeno na spletnem portalu eVŠ. Izpolnjen in oddan elektronski obrazec za prijavo na študij šteje tudi kot vloga za priznavanje tujega izobraževanja. ​Postopek priznavanja tujega izobraževanja za namen nadaljevanja izobraževanja se za visokošolske zavode Univerze v Mariboru izvaja na univerzi. Raziščite več informacij o postopku priznavanja izobraževanja 'https://moja.um.si/bodoci-studentje/Strani/priznavanje-izobrazevanja.aspx'.","Slovenščina"
"Sem tuj državljan. V katerem primeru se lahko prijavim v rokih in na vpisna mesta, ki so razpisana za državljane RS in državljane držav članic EU?","Državljani držav nečlanic EU se lahko prijavijo v rokih in na mesta, ki so namenjena državljanom RS in državljanom drugih držav članic EU, če imajo stalno prebivališče v Republiki Sloveniji in so sami ali njihovi starši/skrbniki oziroma eden od staršev/skrbnikov rezidenti Republike Slovenije za davčne namene, ali če jim je bila priznana mednarodna zaščita oziroma so prosilci za mednarodno zaščito v skladu z Zakonom o mednarodni zaščiti. Tuj državljan, ki želi uveljavljati enega od omenjenih statusov, mora status ustrezno označiti na prvem koraku izpolnjevanja prijave za v​pis.​","Slovenščina"
"Sem Slovenec brez slovenskega državljanstva in hkrati državljan države članice EU. Kdaj in na katera vpisna mesta se lahko prijavim?", "Kandidat, ki je hkrati Slovenec brez slovenskega državljanstva in državljan države članice EU, lahko odda v istem prijavnem roku le eno prijavo, in sicer ali kot Slovenec brez slovenskega državljanstva ali kot državljan države članice Evropske unije.","Slovenščina"
"Kje lahko preverim, ali moram pred vpisom predložiti dokazilo o znanju slovenskega/angleškega jezika in katera stopnja znanja jezika je zahtevana?","Visokošolski zavodi lahko določijo raven zahtevanega znanja jezika izvedbe študija in termin (letnik študija), do katerega mora študent predložiti dokazilo. Tuji kandidati morajo dokazilo predložiti do termina, ki je naveden v akreditiranih vpisnih pogojih. Preglejte podro​bnejše informacije o poznavanju slovenskega jezika in možnostih učenja 'https://moja.um.si/en/future-students/Strani/slovene-for-foreigners.aspx'.","Slovenščina"
​​"Kaj naj storim, če se ne morem vpisat na dan, ki mi ga je v vabilu k vpisu določila fakulteta?","V primeru, če se vpisa na dan, ki ga je določil visokošolski zavod, ne morete udeležiti, morate obvestiti visokošolski zavod, kamor ste bili sprejeti, in se dogovoriti o nadaljnjih možnostih. Za izvedbo vpisa lahko pooblastite drugo osebo. Če se na povabilo k vpisu ne boste odzvali, bo namreč štelo, da odstopate od vpisa, vaše vpisno mesto pa se bo kot prosto vpisno mesto razpisalo v drugem prijavnem roku.​","Slovenščina"
"Ali je na UM možen semestralni vpis?","Semestralni vpis v Republiki Sloveniji ni možen, saj ni predviden niti s Pravilnikom o razpisu za vpis in izvedbi vpisa v visokem šolstvu niti z evidenčnim in analitskim informacijskim sistemom visokega šolstva (tj. eVŠ).​","Slovenščina"
"Istočasno bi rad študiral po dveh študijskih programih iste stopnje. Kaj moram vedeti?","Kandidat je lahko vpisan na dva študijska programa iste stopnje hkrati le po pravilih za vzporedni študij. Da je vpis v vzporedni študij mogoč, pa mora izbrana fakulteta razpisati prosta mesta za vzporedni študij. 94. člen Statuta Univerze v Mariboru za vzporedni študij določa naslednje kriterije: ​kandidat mora izpolnjevati pogoje za napredovanje v višji letnik in imeti po opravljenem prvem letniku študija povprečno oceno študija najmanj osem; vzporedni študij je mogoč po dveh ali več študijskih programih, ki jih izvaja ena ali več članic Univerze v Mariboru; za vzporedni študij je potrebno soglasje dekana visokošolskega zavoda, na katerega je kandidat že vpisan; vpis v vzporedni študij ni mogoč v času absolventskega staža; izjemoma se lahko dovoli hkratni vpis v začetna letnika študija kandidatom, ki so izredno uspešno zaključili predhodno izobraževanje, ki je pogoj za vpis.","Slovenščina"
"Ali moram na vzporednem študiju plačati šolnino?","Za vpis v prvi letnik vzporednega študija za državljane RS in EU ni predvideno plačilo šolnine za redni študij, če kandidat še nima dosežene izobrazbe, ki ustreza najmanj ravni izobrazbe, pridobljene po študijskem programu, v katerega se vpisuje (v skladu s 77. členom Zakona o visokem šolstvu). Ko študent na matičnem študiju diplomira in si pridobi enako raven izobrazbe, potem je s prihodnjim študijskim letom za njegov vzporedni študij predvideno plačilo šolnine v skladu s četrtim odstavkom 77. člena Zakona o visokem šolstvu.","Slovenščina"
"Prvič sem vpisan v prvi letnik študijskega programa na Univerzi v Mariboru, a bi se iz študijskega programa rad izpisal. Zakaj sta pomembna datuma 15. in 31. oktober?","Za študenta, ki se po prvem vpisu v prvi letnik študijskega programa izpiše do 15. oktobra v študijskem letu, v katerem se je vpisal, se šteje, da se v ta študijski program ni vpisal. Opozorilo: V študijski program, iz katerega se je posameznik izpisal na lastno željo po 15. oktobru, se več ne more vpisati! Navedeno velja tako za redni kot tudi za izredni način študija na istem študijskem programu. Datum 31. oktober je vezan na plačilo šolnine: ​Študent prve ali druge stopnje, ki se bo iz študijskega programa izpisal do 31. oktobra, bo moral plačati 20 % pogodbene šolnine. Študent prve ali druge stopnje, ki se bo iz študijskega programa izpisal do 31. decembra, bo moral plačati 50 % pogodbene šolnine. Študent prve ali druge stopnje, ki se bo iz študijskega programa izpisal po 1. januarju, bo moral šolnino poravnati v celoti. Doktorski študent, ki se bo iz študijskega programa izpisal do 31. oktobra, ne bo rabil plačati šolnine. Doktorski študent, ki se bo iz študijskega programa izpisal po 31. oktobru, vendar najkasneje do 31. januarja, bo moral plačati 50 % pogodbene šolnine. Doktorski študent, ki se bo iz študijskega programa izpisal po 1. februarju, bo moral šolnino poravnati v celoti.","Slovenščina"
"Ali se lahko vpišem v študijski program, iz katerega sem se izpisal?","Študent se v študijski program, iz katerega se je izpisal, ne more več vpisati, saj je bil z izpisom izkazan namen, da se študent po tem študijskem programu ne želi več izobraževati. Navedeno velja tako za redni kot tudi za izredni način študija na istem študijskem programu. IZJEMA: Za študenta, ki se po prvem vpisu v 1. letnik študijskega programa izpiše do 15. oktobra v študijskem letu, v katerem se je vpisal, se šteje, da se v ta študijski program ni vpisal.","Slovenščina"
"Ali imajo tuji državljani (državljani držav nečlanic Evropske unije in Slovenci brez slovenskega državljanstva) možnost bivanja v študentskih domovih?","Študentski domovi UM vsako leto objavijo Razpis za sprejem rednih tujih študentov za bivanje v študentskih domovih Maribor. Za informacije se obrnite na: Bojana Ogrizek Rogan (bojana.ogrizek-rogan@um.si​)​.​​","Slovenščina"
"Kje si lahko kandidat (tuj državljan) uredi EMŠO in davčno številko?","EMŠO se ureja v referatu fakultete, kamor se kandidat vpisuje (EMŠO kreira pooblaščena oseba za vnos podatkov v eVŠ), in ni pogoj za pridobitev davčne številke. Davčna številka se ureja na finančnem uradu in je potrebna tudi za ureditev zdravstvenega zavarovanja v Republiki Sloveniji. Če imate davčno številko, ni nujno, da ste tudi davčni zavezanec v RS. Davčni zavezanec je tisti, ki v RS prejme kakršno koli plačilo ali dohodek.","Slovenščina"
"Kakšna je razlika med rednim in izrednim načinom študija?","Skupaj z besedilom Razpisa za vpis v dodiplomske in enovite magistrske študijske programe ter Razpisa za vpis v podiplomske študijske programe se definira tudi način izvedbe, pri čemer se redni študij izvaja v celoti, ne glede na število prijavljenih oz. vpisanih kandidatov za študij. Na izrednem študiju je fakultetam omogočeno, da s posebnimi kriteriji, ki so del razpisnega besedila, opredelijo izvedbo (tj. s študijskim programom se lahko prilagodita organizacija in časovna razporeditev predavanj, seminarjev in vaj možnostim študentom). Fakulteta se lahko v primeru premajhnega števila vpisanih kandidatov odloči, da izrednega študija ne bo izvajala.","Slovenščina"
"V katerem jeziku se izvaja študij na UM?","Del razpisnega besedila je tudi jezik izvedbe posameznega študijskega programa. Skladno z 8. členom Zakona o visokem šolstvu mora visokošolski zavod, če opravlja javno službo, študijski program izvesti v slovenskem jeziku (izjema so študijski programi tujih jezikov in deli študijskih programov, če pri njihovem izvajanju sodelujejo gostujoči visokošolski učitelji iz tujine ali je vanje vpisano večje število tujih študentov), vzporedno pa se lahko študentom omogoči tudi izvedba študijskega programa oz. smeri v tujem jeziku.","Slovenščina"
"Kaj se razume pod pojmom 'nadstandard'?","Nadstandard pomeni nadstandardno izvedbo študijskega programa, pri katerem gre za posebno prilagoditev in omogočanje posebnih ugodnosti na študiju, ki jih morajo študentje posebej plačati in se jim zaračuna ob vpisu ne gleda na način študija (torej redni oz. izredni). Za nadstandardno izvedbo študija velja npr. izvedba študijskega programa v angleškem jeziku, študij s pomočjo najsodobnejše infrastrukture, študij v sodelovanju s priznanimi strokovnjaki na nekem področju ipd., pri čemer pa mora članica UM skladno s 16. členom Navodil o prispevkih in vrednotenju stroškov na Univerzi v Mariboru določiti kriterije za tako izvedbo, h katerim mora soglasje podati študentski svet članice, sprejme pa jih Upravni odbor Univerze v Mariboru skupaj s cenikom. Pri določanju šolnine za redni študij za nadstandard mora članica upoštevati dejanske stroške, ki jih povzroči izvajanje nadstandarda. Študenti morajo imeti možnost opravljati študijske obveznosti tudi s standardno izvedbo.","Slovenščina"
